frame,active_tracks
2388,14
2389,14
2390,14
2391,14
2392,14
2393,14
2394,14
2395,14
2396,14
2397,13
2398,15
2399,14
2400,14
2401,13
2402,13
2403,12
2404,12
2405,14
2406,13
2407,11
2408,11
2409,12
2410,12
2411,12
2412,11
2413,13
2414,14
2415,14
2416,14
2417,15
2418,14
2419,13
2420,15
2421,15
2422,14
2423,15
2424,15
2425,14
2426,15
2427,13
2428,14
2429,14
2430,12
2431,13
2432,12
2433,13
2434,10
2435,10
2436,10
2437,10
2438,11
2439,11
2440,10
2441,9
2442,8
2443,8
2444,11
2445,10
2446,8
2447,9
2448,10
2449,11
2450,12
2451,12
2452,12
2453,11
2454,12
2455,11
2456,11
2457,10
2458,10
2459,9
2460,11
2461,12
2462,10
2463,11
2464,11
2465,11
2466,11
2467,11
2468,11
2469,11
2470,11
2471,11
2472,11
2473,10
2474,10
2475,9
2476,9
2477,8
2478,8
2479,8
2480,8
2481,8
2482,8
2483,8
2484,8
2485,8
2486,8
2487,7
2488,8
2489,1
2490,13
2491,13
2492,13
2493,13
2494,12
2495,12
2496,11
2497,12
2498,12
2499,11
2500,13
2501,11
2502,9
2503,9
2504,9
2505,10
2506,11
2507,11
2508,12
2509,11
2510,12
2511,10
2512,12
2513,13
2514,11
2515,12
2516,13
2517,12
2518,12
2519,13
2520,14
2521,14
2522,13
2523,13
2524,13
2525,14
2526,14
2527,14
2528,15
2529,16
2530,15
2531,15
2532,17
2533,17
2534,17
2535,16
2536,17
2537,16
2538,16
2539,16
2540,16
2541,17
2542,16
2543,16
2544,14
2545,15
2546,14
2547,13
2548,14
2549,15
2550,15
2551,14
2552,14
2553,14
2554,14
2555,15
2556,15
2557,15
2558,14
2559,14
2560,14
2561,13
2562,13
2563,14
2564,14
2565,13
2566,13
2567,13
2568,11
2569,13
2570,12
2571,11
2572,11
2573,13
2574,13
2575,13
2576,13
2577,12
2578,0
2579,1
2580,1
2581,1
2582,1
2583,1
2584,1
2585,1
2586,1
2587,1
2588,1
2589,1
2590,1
2591,0
2592,1
2593,1
2594,0
2595,0
2596,1
2597,1
2598,1
2599,1
2600,1
2601,1
2602,0
2603,1
2604,0
2605,1
2606,1
2607,1
2608,1
2609,1
2610,1
2611,1
2612,1
2613,1
2614,1
2615,1
2616,1
2617,1
2618,1
2619,1
2620,1
2621,1
2622,1
2623,1
2624,1
2625,1
2626,1
2627,1
2628,1
2629,1
2630,1
2631,1
2632,1
2633,1
2634,1
2635,1
2636,1
2637,1
2638,1
2639,1
2640,1
2641,1
2642,0
2643,12
2644,11
2645,12
2646,13
2647,13
2648,13
2649,13
2650,14
2651,13
2652,13
2653,14
2654,13
2655,13
2656,14
2657,13
2658,13
2659,13
2660,13
2661,13
2662,12
2663,14
2664,11
2665,14
2666,13
2667,14
2668,15
2669,15
2670,14
2671,12
2672,12
2673,13
2674,15
2675,14
2676,13
2677,13
2678,13
2679,13
2680,13
2681,12
2682,12
2683,11
2684,13
2685,13
2686,13
2687,13
2688,15
2689,15
2690,14
2691,14
2692,14
2693,14
2694,13
2695,13
2696,14
2697,12
2698,12
2699,12
2700,14
2701,14
2702,14
2703,14
2704,15
2705,12
2706,13
2707,13
2708,12
2709,12
2710,12
2711,11
2712,12
2713,12
2714,12
2715,12
2716,11
2717,11
2718,11
2719,12
2720,13
2721,12
2722,10
2723,10
2724,12
2725,12
2726,12
2727,12
2728,11
2729,10
2730,11
2731,11
2732,11
2733,8
2734,7
2735,7
2736,9
2737,10
2738,10
2739,9
2740,9
2741,10
2742,11
2743,11
2744,11
2745,11
2746,11
2747,11
2748,10
2749,11
2750,10
2751,10
2752,10
2753,9
2754,10
2755,10
2756,9
2757,10
2758,9
2759,10
2760,9
2761,9
2762,10
2763,8
2764,6
2765,8
2766,8
2767,9
2768,8
2769,9
2770,9
2771,9
2772,9
2773,10
2774,7
2775,9
2776,8
2777,9
2778,8
2779,8
2780,9
2781,10
2782,9
2783,9
2784,9
2785,9
2786,9
2787,9
2788,9
2789,9
2790,9
2791,9
2792,10
2793,1
2794,6
2795,6
2796,6
2797,6
2798,5
2799,4
2800,6
2801,6
2802,6
2803,6
2804,6
2805,5
2806,4
2807,5
2808,3
2809,3
2810,3
2811,4
2812,4
2813,3
2814,4
2815,4
2816,4
2817,4
2818,4
2819,4
2820,4
2821,4
2822,4
2823,3
2824,4
2825,4
2826,3
2827,4
2828,4
2829,4
2830,4
2831,5
2832,5
2833,5
2834,5
2835,5
2836,5
2837,5
2838,5
2839,5
2840,5
2841,5
2842,5
2843,5
2844,5
2845,6
2846,6
2847,6
2848,6
2849,6
2850,6
2851,5
2852,5
2853,5
2854,6
2855,6
2856,7
2857,6
2858,5
2859,5
2860,6
2861,5
2862,6
2863,6
2864,5
2865,4
2866,4
2867,5
2868,5
2869,6
2870,5
2871,5
2872,6
2873,6
2874,6
2875,5
2876,6
2877,5
2878,6
2879,5
2880,6
2881,6
2882,6
2883,5
2884,6
2885,7
2886,5
2887,6
2888,0
2889,0
2890,0
2891,0
2892,0
2893,0
2894,0
2895,0
2896,0
2897,1
2898,1
2899,1
2900,1
2901,1
2902,1
2903,1
2904,1
2905,1
2906,1
2907,1
2908,1
2909,1
2910,1
2911,1
2912,1
2913,1
2914,1
2915,1
2916,1
2917,1
2918,1
2919,1
2920,1
2921,1
2922,1
2923,1
2924,1
2925,1
2926,1
2927,1
2928,1
2929,1
2930,1
2931,1
2932,1
2933,1
2934,1
2935,1
2936,1
2937,1
2938,1
2939,1
2940,1
2941,1
2942,1
2943,1
2944,1
2945,1
2946,1
2947,1
2948,1
2949,1
2950,1
2951,1
2952,1
2953,1
2954,1
2955,1
2956,1
2957,1
2958,1
2959,4
2960,4
2961,2
2962,2
2963,2
2964,2
2965,2
2966,2
2967,4
2968,4
2969,5
2970,5
2971,4
2972,4
2973,5
2974,4
2975,4
2976,4
2977,4
2978,3
2979,4
2980,4
2981,3
2982,2
2983,3
2984,3
2985,3
2986,4
2987,4
2988,4
